game_id,date,team_1,team_2,betonline_line,bovada_line,mybookie_line,predicted_total,actual_total,confidence,good_bet_score,over_best_book,over_odds_american,over_odds_decimal,over_potential_profit,under_best_book,under_odds_american,under_odds_decimal,under_potential_profit
20241125_Alabama A&M_IU Indy,2024-11-25,Alabama A&M,IU Indy,143.5,143.5,143.5,145.0,171,0.6224,0.6241,Betonline,-110.0,1.909,9.09,Bovada,-105.0,1.952,9.52
20241125_Auburn_Iowa St.,2024-11-25,Auburn,Iowa St.,146.0,146.5,146.5,147.4,164,0.6096,0.6031,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241125_Ball St._Eastern Kentucky,2024-11-25,Ball St.,Eastern Kentucky,150.0,150.0,150.0,153.7,124,0.7699,0.9177,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Boston College_Missouri St.,2024-11-25,Boston College,Missouri St.,135.0,136.0,136.0,137.0,150,0.655,0.6435,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Buffalo_North Carolina A&T,2024-11-25,Buffalo,North Carolina A&T,160.0,160.0,159.0,161.0,163,0.5833,0.6008,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Cal St. Northridge_Denver,2024-11-25,Cal St. Northridge,Denver,156.5,156.0,156.5,160.3,149,0.7762,0.9108,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Central Michigan_Minnesota,2024-11-25,Central Michigan,Minnesota,128.0,128.0,127.5,129.5,133,0.5845,0.5257,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Colorado_Michigan St.,2024-11-25,Colorado,Michigan St.,145.0,144.5,145.5,146.1,128,0.5863,0.577,Betonline,-105.0,1.952,9.52,Bovada,-105.0,1.952,9.52
20241125_Connecticut_Memphis,2024-11-25,Connecticut,Memphis,150.5,150.5,150.5,152.1,196,0.628,0.5232,Bovada,-105.0,1.952,9.52,Betonline,-110.0,1.909,9.09
20241125_Dayton_North Carolina,2024-11-25,Dayton,North Carolina,154.5,155.0,155.5,156.3,182,0.6093,0.7027,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Drexel_Purdue Fort Wayne,2024-11-25,Drexel,Purdue Fort Wayne,144.0,144.5,144.1,145.3,168,0.5788,0.6243,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
20241125_Duquesne_Hampton,2024-11-25,Duquesne,Hampton,134.5,135.0,135.5,136.5,123,0.6583,0.602,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_East Texas A&M_Stonehill,2024-11-25,East Texas A&M,Stonehill,137.0,137.0,137.2,140.6,132,0.7682,0.8152,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241125_Eastern Michigan_Houston Christian,2024-11-25,Eastern Michigan,Houston Christian,131.0,132.0,134.0,133.9,147,0.7243,0.7973,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241125_Fordham_Penn St.,2024-11-25,Fordham,Penn St.,153.0,153.0,153.0,153.9,151,0.5634,0.5088,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Green Bay_Ohio St.,2024-11-25,Green Bay,Ohio St.,153.5,153.0,153.2,153.2,171,0.4776,0.5412,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.909,9.09
20241125_Illinois_Little Rock,2024-11-25,Illinois,Little Rock,151.5,152.0,152.0,157.1,126,0.8231,0.7886,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241125_Incarnate Word_South Alabama,2024-11-25,Incarnate Word,South Alabama,144.0,144.0,144.0,145.9,147,0.6512,0.709,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Kansas St._Longwood,2024-11-25,Kansas St.,Longwood,142.5,141.0,141.5,144.2,144,0.6373,0.5878,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Le Moyne_UT Rio Grande Valley,2024-11-25,Le Moyne,UT Rio Grande Valley,152.0,152.0,152.0,157.0,174,0.809,0.9376,MyBookie,-109.0,1.914,9.14,Betonline,-110.0,1.909,9.09
20241125_Liberty_McNeese St.,2024-11-25,Liberty,McNeese St.,132.0,133.0,133.0,132.8,120,0.5666,0.5204,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241125_Long Beach St._UNC Greensboro,2024-11-25,Long Beach St.,UNC Greensboro,131.0,131.0,133.5,132.9,119,0.6384,0.5856,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241125_Merrimack_UMass Lowell,2024-11-25,Merrimack,UMass Lowell,137.5,137.5,137.5,139.7,155,0.6728,0.6459,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Miami OH_Siena,2024-11-25,Miami OH,Siena,137.5,137.0,138.5,142.1,128,0.8147,0.9318,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241125_Montana_Utah Tech,2024-11-25,Montana,Utah Tech,148.5,148.5,148.5,149.6,135,0.5804,0.637,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241125_North Texas_Oregon St.,2024-11-25,North Texas,Oregon St.,126.0,126.5,126.0,132.5,113,0.8786,0.9679,Betonline,-110.0,1.909,9.09,Betonline,-110.0,1.909,9.09
20241125_Quinnipiac_Saint Louis,2024-11-25,Quinnipiac,Saint Louis,154.5,155.0,154.5,159.6,148,0.7852,0.8348,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241125_Troy_UTSA,2024-11-25,Troy,UTSA,152.0,152.0,151.0,154.8,158,0.7131,0.8264,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241126_Abilene Christian_Montana St.,2024-11-26,Abilene Christian,Montana St.,142.5,142.5,142.5,143.1,144,0.5526,0.5365,MyBookie,-110.0,1.912,9.12,Betonline,-110.0,1.909,9.09
20241126_Alabama_Houston,2024-11-26,Alabama,Houston,149.5,149.0,149.7,151.1,165,0.6257,0.6156,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.919,9.19
20241126_Auburn_North Carolina,2024-11-26,Auburn,North Carolina,165.5,164.0,165.1,165.2,157,0.4755,0.5228,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.909,9.09
